# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
        322        6.0808239165        6.0808212678        4.0501816915       44.1171589916      137.6458190454
        323        5.9735854603        5.9735894757        3.9468440200       42.0677634506      137.1589539536
        324        5.8602839270        5.8602946070        3.8375511461       40.0595742536      136.6659807558
        325        5.7412720823        5.7412893297        3.7226487179       38.1405971035      136.1672980902
        326        5.6169179301        5.6169415115        3.6024973616       36.4157563772      135.6633240552
        327        5.4876042830        5.4876338852        3.4774722616       35.0232182178      135.1544944045
        328        5.3537282382        5.3537636183        3.3479626475       34.2025108014      134.6412606908
        329        5.2157005420        5.2157410853        3.2143711725       34.3275981283      134.1240883739
        330        5.0739448256        5.0739899328        3.0771131640       35.7697913854      133.6034549138
        331        4.9288967008        4.9289457573        2.9366157386       38.0840497683      133.0798478475
        332        4.7810027080        4.7810550984        2.7933167698       40.7957487657      132.5537628767
        333        4.6307191120        4.6307740741        2.6476637084       43.7246647193      132.0257019731
        334        4.4785105473        4.4785672239        2.5001122537       46.9619364318      131.4961715146
        335        4.3248485167        4.3249062270        2.3511248813       50.2982962233      130.9656804609
        336        4.1702097537        4.1716294547        2.2011692367       53.8318335124      130.4347385731
        337        4.0150744601        4.0266269093        2.0507164069       57.5468208960      129.9038546977
        338        3.8599244374        3.8940077515        1.9002390861       61.2712848131      129.3735351103
        339        3.7052411726        3.7678105645        1.7502096991       65.2666951441      128.8442819921
        340        3.5515038621        3.6426593430        1.6010984603       69.2936000446      128.3165920286
        341        3.3991871097        3.5186663921        1.4533711144       73.6305022397      127.7909546361
        342        3.2487589845        3.4005578346        1.3074870335       78.4885520401      127.2678506031
        343        3.1006789466        3.2894019043        1.1638971786       83.3254183156      126.7477508886
        344        2.9553958068        3.1803639756        1.0230420966       88.0637499926      126.2311153916
        345        2.8133457442        3.0737231761        0.8853499745       92.6880157937      125.7183917855
        346        2.6749504081        2.9698157650        0.7512347749       97.1832075184      125.2100144123
        347        2.5406151226        2.8722626547        0.6210944729      101.5348937048      124.7064032490
        348        2.4107272164        2.7833282309        0.4953094157      105.7292846754      124.2079629235
        349        2.2856544929        2.6977777739        0.3742408192      109.7532960476      123.7150817873
        350        2.1657438555        2.6158448390        0.2582294171      113.5945770725      123.2281310436
        351        2.0513200983        2.5377623496        0.1475942720      117.2415814878      122.7474639157
        352        1.9426848694        2.4645446699        0.0426317564      120.6835790390      122.2734148736
        353        1.8401158125        2.4003265738        0.0563852927      123.9107026323      121.8062988892
        354        1.7438658841        2.3415214342        0.1492082457      126.9139699521      121.3464107435
        355        1.6541628474        2.2869017048        0.2356131794      129.6852931049      120.8940243761
        356        1.5712089350        2.2365801843        0.3154012108      132.2175026912      120.4493922684
        357        1.4951806727        2.1911108670        0.3883986718      134.5043502730      120.0127448748
        358        1.4262288545        2.1520619823        0.4544571365      136.5405077453      119.5842901077
        359        1.3644786552        2.1186627125        0.5134533133      138.3215560348      119.1642128543
        360        1.3100298670        2.0898366921        0.5652888144      139.8439836511      118.7526745459
        361        1.2629572451        2.0652917065        0.6098898193      141.1051672137      118.3498127817
        362        1.2233109462        2.0448667553        0.6472066468      142.1033702783      117.9557410050
        363        1.1911170438        2.0290381136        0.6772132511      142.8377048181      117.5705482564
