# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
        203        6.0531237971        6.0547524938        1.7437177372       13.2060633403       32.8393514090
        204        6.0257148368        6.0273341567        1.7271114746       13.0800556920       32.6605997955
        205        5.9982412005        5.9998511179        1.7105759271       12.9545786177       32.4897382106
        206        5.9707038733        5.9723043628        1.6941104574       12.8296331537       32.3208751229
        207        5.9431059522        5.9446969899        1.6777124786       12.7052298799       32.1237272365
        208        5.9154428852        5.9170244452        1.6613865152       12.5813517219       31.9498265364
        209        5.8877154132        5.8892874701        1.6451321954       12.4580144223       31.7805912211
        210        5.8599244654        5.8614869941        1.6289489860       12.3352173930       31.6125476241
        211        5.8320702883        5.8336232641        1.6128370016       12.2129623588       31.4448410789
        212        5.8041529420        5.8056963400        1.5967965457       12.0912580599       31.2772309661
        213        5.7761725013        5.7777062969        1.5808279241       11.9701096376       31.1096359470
        214        5.7481290741        5.7496532430        1.5649314285       11.8495094654       30.9420189739
        215        5.7200233082        5.7215378259        1.5491068653       11.7294614633       30.7689925745
        216        5.6918560580        5.6933609007        1.5333538649       11.6099691954       30.5842557653
        217        5.6636250958        5.6651202391        1.5176749484       11.4910267886       30.4132184886
        218        5.6353311423        5.6368165620        1.5020699102       11.3726433668       30.2447012773
        219        5.6069749184        5.6084505909        1.4865385629       11.2548197324       30.0767615483
        220        5.5785567269        5.5800226285        1.4710811293       11.1375581469       29.9089195659
        221        5.5500767753        5.5515328827        1.4556979416       11.0208612719       29.7410466878
        222        5.5215353023        5.5229815922        1.4403893244       10.9047316371       29.5731044084
        223        5.4929325781        5.4943690277        1.4251555952       10.7891717026       29.4050782846
        224        5.4642688943        5.4656954809        1.4099970738       10.6741839391       29.2369610937
        225        5.4355445618        5.4369612630        1.3949140855       10.5597708501       29.0687484352
        226        5.4067599175        5.4081667110        1.3799069550       10.4459349382       28.9004374576
        227        5.3779153197        5.3793121837        1.3649760116       10.3326787321       28.7320263443
        228        5.3490111494        5.3503980623        1.3501215883       10.2200047862       28.5635141160
        229        5.3200478126        5.3214247533        1.3353440200       10.1079156688       28.3949004798
        230        5.2910257412        5.2923926885        1.3206436441        9.9964139630       28.2261857040
        231        5.2619453926        5.2633023261        1.3060208003        9.8855022688       28.0573705331
        232        5.2328072508        5.2341541503        1.2914758306        9.7751832024       27.8884561244
        233        5.2036118272        5.2049486728        1.2770090794        9.6654593949       27.7194439945
        234        5.1743596609        5.1756864331        1.2626208933        9.5563334925       27.5503359777
        235        5.1450513193        5.1463679992        1.2483116207        9.4478081551       27.3811341932
        236        5.1156873992        5.1169939682        1.2340816121        9.3398860554       27.2118410195
        237        5.0862685270        5.0875649670        1.2199312198        9.2325698787       27.0424590739
        238        5.0567970459        5.0580833403        1.2058592115        9.1258654856       26.8577204054
        239        5.0272831714        5.0285593101        1.1918568864        9.0197939843       26.5700530776
        240        4.9977115096        4.9989774725        1.1779395662        8.9143227553       26.3293771568
        241        4.9680841761        4.9693399450        1.1641065499        8.8094633430       26.1184000677
        242        4.9384043192        4.9396498777        1.1503560142        8.7052234095       25.9154302063
        243        4.9086735601        4.9099088928        1.1366875728        8.6016044508       25.7162627993
        244        4.8788907961        4.8801158876        1.1231034315        8.4986047220       25.5395180154
        245        4.8490590600        4.8502738965        1.1096019285        8.3962350215       25.3613568519
        246        4.8191815458        4.8203861153        1.0961812788        8.2944995885       25.1641440706
        247        4.7892551513        4.7904494401        1.0828456714        8.1933899616       24.9886310377
        248        4.7592819588        4.7604659550        1.0695944374        8.0929179005       24.8173543761
        249        4.7292637087        4.7304374010        1.0564272632        7.9930842733       24.6472724309
        250        4.6992016043        4.7003649825        1.0433443750        7.8938916305       24.4776208351
        251        4.6690967284        4.6702497829        1.0303461463        7.7953429931       24.3081831521
        252        4.6389518696        4.6400945921        1.0174313708        7.6974452136       24.1227904587
        253        4.6087664157        4.6098987982        1.0046020918        7.6001943379       23.9412629305
        254        4.5785405534        4.5796625881        0.9918596329        7.5035941596       23.7696391341
        255        4.5482763024        4.5493879829        0.9792036163        7.4076495357       23.6000784684
        256        4.5179753014        4.5190766221        0.9666340580        7.3123621811       23.4311175725
        257        4.4876389128        4.4887298691        0.9541512686        7.2177348246       23.2623889323
        258        4.4572684824        4.4583490704        0.9417556083        7.1237727082       23.0937923912
        259        4.4268654075        4.4279356246        0.9294474208        7.0304844700       22.9252975552
        260        4.3964311308        4.3974909750        0.9172270403        6.9378635507       22.7568936362
        261        4.3659671272        4.3670165976        0.9050948028        6.8459125307       22.5885765215
        262        4.3354749103        4.3365140070        0.8930510401        6.7546339535       22.4203452698
        263        4.3049560323        4.3059847563        0.8810960792        6.6640303244       22.2522009132
        264        4.2744120837        4.2754304371        0.8692302424        6.5741041094       22.0841459483
        265        4.2438446927        4.2448526787        0.8574538474        6.4848577352       21.9161840431
        266        4.2132555254        4.2142531484        0.8457672066        6.3962935855       21.7483198293
        267        4.1826476863        4.1836349517        0.8341692938        6.3084173851       21.5668195190
        268        4.1520208741        4.1529977884        0.8226623533        6.2212245157       21.3940879823
        269        4.1213768717        4.1223434421        0.8112466767        6.1347210364       21.2255390081
        270        4.0907179821        4.0916742173        0.7999220881        6.0489089355       21.0580108605
        271        4.0600462119        4.0609921219        0.7886887215        5.9637900281       20.8908600664
        272        4.0293634523        4.0302990481        0.7775468483        5.8793665147       20.7239286941
        273        3.9986716188        3.9995969127        0.7664967430        5.7956404964       20.5571791359
        274        3.9679726713        3.9688876766        0.7555386639        5.7126139396       20.3906050186
        275        3.9372686062        3.9381733377        0.7446728592        5.6302887289       20.2242086386
        276        3.9065614538        3.9074559275        0.7338995689        5.5486666830       20.0579951885
        277        3.8758532779        3.8767375110        0.7232190248        5.4677495514       19.8919711941
        278        3.8451483161        3.8460223284        0.7126294021        5.3875419248       19.7076001570
        279        3.8144503212        3.8153141346        0.7021292017        5.3080474122       19.4898271528
        280        3.7837556894        3.7846093238        0.6917240360        5.2292589348       19.2887027955
        281        3.7530691774        3.7539126554        0.6814118632        5.1511832625       19.0815686962
        282        3.7223898471        3.7232231907        0.6711959209        5.0738152804       18.8985802941
        283        3.6917208413        3.6925440748        0.6610755401        4.9971600204       18.7291949617
        284        3.6610696273        3.6618827789        0.6510459155        4.9212257105       18.5284175679
        285        3.6304326211        3.6312357172        0.6411128447        4.8460007875       18.3528944116
        286        3.5998133157        3.6006063848        0.6312753588        4.7714934483       18.1861004272
        287        3.5692150633        3.5699981358        0.6215326354        4.6977039888       18.0216764846
        288        3.5386404973        3.5394136049        0.6118845528        4.6246330078       17.8582390541
        289        3.5080945795        3.5088577566        0.6023287631        4.5522856796       17.6724840245
        290        3.4775765390        3.4783298198        0.5928684322        4.4806552603       17.4958372566
        291        3.4470880988        3.4478315186        0.5835043421        4.4097445502       17.3308983765
        292        3.4166327767        3.4173663728        0.5742355569        4.3395552699       17.1687383257
        293        3.3862134266        3.3869372377        0.5650617838        4.2700870924       17.0076560998
        294        3.3558326117        3.3565466779        0.5559830137        4.2013403602       16.8472224903
        295        3.3254928732        3.3261972360        0.5469992617        4.1333152644       16.6873196851
        296        3.2951967675        3.2958914697        0.5381105304        4.0660118296       16.5279115948
        297        3.2649468706        3.2656319566        0.5293168037        3.9994299283       16.3689856888
        298        3.2347457733        3.2354212886        0.5206180510        3.9335693135       16.2105377696
        299        3.2045976385        3.2052636306        0.5120127234        3.8684323566       16.0382382421
        300        3.1745035743        3.1751600916        0.5035022129        3.8040214393       15.8677161612
        301        3.1444649486        3.1451120403        0.4950876583        3.7403288534       15.7080484847
        302        3.1144852162        3.1151229334        0.4867681795        3.6773554222       15.5509479919
        303        3.0845673644        3.0851957593        0.4785433392        3.6150996786       15.3949022380
        304        3.0547140892        3.0553332155        0.4704129720        3.5535607708       15.2395405330
        305        3.0249280385        3.0255379512        0.4623769487        3.4927377582       15.0847685910
        306        2.9952118711        2.9958126265        0.4544351181        3.4326294968       14.9305633925
        307        2.9655682525        2.9661599082        0.4465873091        3.3732346899       14.7769213555
        308        2.9359998495        2.9365824643        0.4388333357        3.3145519170       14.6238450393
        309        2.9065093258        2.9070829597        0.4311729985        3.2565796475       14.4713395680
        310        2.8770993509        2.8776640653        0.4236060758        3.1993161959       14.3194115348
        311        2.8477725864        2.8483284437        0.4161323352        3.1427597787       14.1680684896
        312        2.8185316904        2.8190787543        0.4087515279        3.0869084877       14.0173187643
        313        2.7893793165        2.7899176519        0.4014633883        3.0317602883       13.8671712691
        314        2.7603181120        2.7608477849        0.3942676348        2.9773130225       13.7176353527
        315        2.7313507164        2.7318717939        0.3871639697        2.9235644100       13.5687207017
        316        2.7024797596        2.7029923100        0.3801520796        2.8705120496       13.4204372565
        317        2.6737078613        2.6742119538        0.3732316350        2.8181534179       13.2727951427
        318        2.6450376290        2.6455333341        0.3664022908        2.7664858720       13.1258046143
        319        2.6164716571        2.6169590460        0.3596636861        2.7155066491       12.9794760081
        320        2.5880125251        2.5884916704        0.3530154445        2.6652128675       12.8338197045
        321        2.5596633037        2.5601342788        0.3464566814        2.6156019917       12.6846166811
        322        2.5314296193        2.5318925005        0.3399839590        2.5666736005       12.5060332542
        323        2.5033069661        2.5037618266        0.3336034392        2.5184176224       12.3553772537
        324        2.4753015268        2.4757484426        0.3273113619        2.4708361922       12.2013206327
        325        2.4474151259        2.4478541738        0.3211079645        2.4239223664       12.0532953409
        326        2.4196534007        2.4200846599        0.3149897027        2.3776771523       11.8826859618
        327        2.3920140405        2.3924375886        0.3089607215        2.3320912904       11.7307876690
        328        2.3645003242        2.3649162400        0.3030196712        2.2871633788       11.5883585877
        329        2.3371155256        2.3375238891        0.2971651768        2.2428897285       11.4486984629
        330        2.3098622101        2.3102631019        0.2913965174        2.1992663132       11.3104302156
        331        2.2827427522        2.2831362536        0.2857131173        2.1562890992       11.1731987593
        332        2.2557594586        2.2561456516        0.2801144247        2.1139539582       11.0369024019
        333        2.2289153990        2.2292943664        0.2745991003        2.0722574419       10.8947282451
        334        2.2022138224        2.2025856481        0.2691655845        2.0311958396       10.7385413666
        335        2.1756532229        2.1760179897        0.2638169143        1.9907604806       10.6004900388
        336        2.1492371355        2.1495949273        0.2585511618        1.9509500541       10.4665918122
        337        2.1229681592        2.1233190606        0.2533672651        1.9117591503       10.3344336496
        338        2.0968484813        2.0971925772        0.2482645172        1.8731830504       10.2034236371
        339        2.0708801703        2.0712175461        0.2432422794        1.8352170142       10.0734043444
        340        2.0450652486        2.0453959899        0.2382999105        1.7978580964        9.9443298352
        341        2.0194058818        2.0197300746        0.2334365802        1.7611020360        9.8144673900
        342        1.9939037550        1.9942214854        0.2286518793        1.7249403938        9.6867980449
        343        1.9685607978        1.9688721523        0.2239451097        1.6893685243        9.5604262034
        344        1.9433789318        1.9436839971        0.2193155308        1.6543811676        9.4350617248
        345        1.9183599946        1.9186588573        0.2147624343        1.6199730399        9.3106418323
        346        1.8935057643        1.8937985115        0.2102851182        1.5861388183        9.1871520205
        347        1.8688179753        1.8691046938        0.2058828728        1.5528731105        9.0645903696
        348        1.8442984976        1.8445792746        0.2015548033        1.5201706537        8.9413985810
        349        1.8199506159        1.8202255388        0.1972985763        1.4880276103        8.8034995488
        350        1.7957726701        1.7960418255        0.1931166530        1.4564340633        8.6803403380
        351        1.7717671678        1.7720306427        0.1890073577        1.4253874780        8.5607036365
        352        1.7479360197        1.7481939008        0.1849695467        1.3948814410        8.4426858042
        353        1.7242807585        1.7245331325        0.1810023941        1.3649102574        8.3258235842
