 rod_temps    0.0000000000000000     
 Rod ,           1
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598280  567.327022  566.727868  565.495270  563.182836  556.072191  554.931432 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598280  567.327021  566.727867  565.495267  563.182829  556.072167  554.931396 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598280  567.327021  566.727867  565.495264  563.182822  556.072142  554.931361 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598280  567.327021  566.727866  565.495262  563.182815  556.072118  554.931325 
Temperature ,  567.787234  567.785169  567.778476  567.760399  567.713735  567.598280  567.327021  566.727866  565.495262  563.182815  556.072119  554.931327 
 
 rod_temps   0.42000000000000010     
 Rod ,           1
 radial pos , 0.0    1.0002449840240703E-003   2.2366157784310127E-003   3.6064345779244448E-003   5.0012249201203526E-003   6.4046929005751570E-003   7.8121630623012531E-003   9.2218030983941320E-003   1.0632750028632310E-002   1.2044544577088435E-002   1.3438320209973752E-002   1.3713910761154854E-002   1.5583989501312335E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  572.086968  572.080095  572.059721  572.011053  571.901043  571.662889  571.171438  570.210826  568.441877  565.424540  556.582624  555.041493 
Temperature ,  572.086977  572.080110  572.059759  572.011151  571.901304  571.663575  571.173187  570.215108  568.451848  565.446257  556.642876  555.119138 
Temperature ,  572.086981  572.080118  572.059778  572.011205  571.901455  571.663993  571.174310  570.218009  568.458976  565.462659  556.690973  555.182805 
Temperature ,  572.086983  572.080122  572.059788  572.011234  571.901540  571.664240  571.175008  570.219908  568.463913  565.474686  556.728330  555.233775 
