 rod_temps    0.0000000000000000     
 Rod ,           1
Temperature ,  571.926804  571.901489  571.840635  571.717111  571.488765  571.090695  570.433318  569.407380  567.899452  565.826912  565.735003  555.629283 
Temperature ,  571.926787  571.901469  571.840605  571.717065  571.488693  571.090587  570.433164  569.407174  567.899196  565.826611  565.734700  555.628789 
Temperature ,  571.926771  571.901448  571.840575  571.717018  571.488619  571.090477  570.433008  569.406969  567.898944  565.826325  565.734415  555.628577 
Temperature ,  571.926754  571.901426  571.840544  571.716970  571.488545  571.090366  570.432851  569.406761  567.898692  565.826043  565.734135  555.628505 
Temperature ,  571.926737  571.901405  571.840513  571.716921  571.488470  571.090253  570.432692  569.406552  567.898437  565.825761  565.733855  555.628492 
Temperature ,  571.927868  571.902898  571.842853  571.720903  571.495297  571.101631  570.450782  569.433683  567.936520  565.875501  565.783707  555.685219 
Temperature ,  571.927868  571.902898  571.842853  571.720904  571.495298  571.101632  570.450783  569.433685  567.936521  565.875503  565.783709  555.685220 
 
 rod_temps   0.41848126100807304     
 Rod ,           1
 radial pos , 0.0    1.0989019599873821E-003   2.4572194831395402E-003   3.9621473634423839E-003   5.4945097999369100E-003   7.0364057745576679E-003   8.5826986768446391E-003   1.0131375474309959E-002   1.1681488068565768E-002   1.3232531884008287E-002   1.4763779527559053E-002   1.5583989501312335E-002   1.6404199475065617E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  571.746672  571.688608  571.557678  571.316061  570.915241  570.289127  569.357414  568.034439  566.243850  563.945594  563.858169  554.417659 
Temperature ,  571.753710  571.697029  571.569113  571.332739  570.939936  570.325095  569.408093  568.102870  566.331890  564.053110  563.965796  554.527707 
Temperature ,  571.755253  571.699024  571.572143  571.337719  570.948183  570.338401  569.428652  568.132984  566.373426  564.106793  564.019610  554.590647 
Temperature ,  571.756200  571.700298  571.574191  571.341294  570.954466  570.349138  569.446190  568.160068  566.412651  564.159684  564.072710  554.660997 
Temperature ,  571.756730  571.701047  571.575477  571.343696  570.958972  570.357346  569.460460  568.183490  566.448609  564.210840  564.124198  554.743778 
Temperature ,  571.756991  571.701441  571.576213  571.345185  570.961980  570.363226  569.471416  568.202740  566.480218  564.258819  564.172691  554.844750 
Temperature ,  571.757093  571.701616  571.576583  571.346019  570.963822  570.367129  569.479263  568.217601  566.506513  564.301807  564.216406  554.966724 
Temperature ,  571.757112  571.701668  571.576734  571.346423  570.964833  570.369490  569.484442  568.228250  566.526947  564.338044  564.253555  555.105805 
Temperature ,  571.757091  571.701660  571.576765  571.346573  570.965305  570.370759  569.487540  568.235242  566.541596  564.366382  564.282898  555.250670 
Temperature ,  571.757057  571.701626  571.576738  571.346588  570.965463  570.371331  569.489175  568.239379  566.551160  564.386680  564.304169  555.386081 
Temperature ,  571.757018  571.701583  571.576689  571.346542  570.965460  570.371504  569.489887  568.241522  566.556750  564.399829  564.318142  555.498666 
Temperature ,  571.756979  571.701538  571.576633  571.346471  570.965386  570.371479  569.490084  568.242427  566.559590  564.407402  564.326329  555.581468 
Temperature ,  571.756941  571.701494  571.576577  571.346395  570.965287  570.371369  569.490031  568.242658  566.560756  564.411167  564.330493  555.635003 
Temperature ,  571.756904  571.701451  571.576521  571.346319  570.965182  570.371232  569.489879  568.242576  566.561036  564.412664  564.332216  555.665084 
Temperature ,  571.756867  571.701408  571.576466  571.346244  570.965078  570.371091  569.489698  568.242376  566.560923  564.413003  564.332664  555.679415 
Temperature ,  571.756830  571.701365  571.576412  571.346170  570.964976  570.370953  569.489516  568.242149  566.560675  564.412856  564.332558  555.684847 
Temperature ,  571.756793  571.701322  571.576357  571.346096  570.964875  570.370818  569.489339  568.241925  566.560403  564.412560  564.332274  555.686135 
Temperature ,  571.756755  571.701279  571.576302  571.346022  570.964775  570.370683  569.489166  568.241709  566.560142  564.412251  564.331965  555.685946 
Temperature ,  571.756717  571.701235  571.576246  571.345947  570.964673  570.370549  569.488995  568.241500  566.559896  564.411966  564.331679  555.685480 
Temperature ,  571.756678  571.701191  571.576190  571.345871  570.964571  570.370414  569.488823  568.241292  566.559658  564.411703  564.331415  555.685125 
Temperature ,  571.759953  571.705108  571.581506  571.353619  570.976031  570.387083  569.512267  568.272867  566.600133  564.460882  564.380621  555.732794 
Temperature ,  571.759953  571.705109  571.581507  571.353620  570.976031  570.387083  569.512268  568.272868  566.600135  564.460883  564.380623  555.732795 
 
 rod_temps   0.51848126100807312     
 Rod ,           1
 radial pos , 0.0    1.0989019599873821E-003   2.4572194831395402E-003   3.9621473634423839E-003   5.4945097999369100E-003   7.0364057745576679E-003   8.5826986768446391E-003   1.0131375474309959E-002   1.1681488068565768E-002   1.3232531884008287E-002   1.4763779527559053E-002   1.5583989501312335E-002   1.6404199475065617E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  571.428365  571.335165  571.132548  570.779272  570.231207  569.433024  568.323515  566.844656  564.953489  562.642144  562.564817  554.362710 
Temperature ,  571.442075  571.350655  571.151772  570.804611  570.265242  569.478386  568.382585  566.919138  565.043909  562.747401  562.670065  554.458526 
Temperature ,  571.446142  571.355456  571.158157  570.813711  570.278421  569.497203  568.408649  566.953833  565.088042  562.800834  562.723545  554.512452 
Temperature ,  571.449110  571.359046  571.163112  570.821078  570.289550  569.513746  568.432441  566.986617  565.131045  562.854276  562.777071  554.570224 
Temperature ,  571.451166  571.361603  571.166794  570.826816  570.298628  569.527859  568.453627  567.017011  565.172407  562.907349  562.830279  554.633225 
Temperature ,  571.452509  571.363327  571.169397  570.831085  570.305737  569.539472  568.471920  567.044496  565.211475  562.959485  562.882630  554.704013 
Temperature ,  571.453324  571.364416  571.171131  570.834100  570.311046  569.548627  568.487128  567.068564  565.247450  563.009818  562.933292  554.786166 
Temperature ,  571.453776  571.365049  571.172211  570.836104  570.314798  569.555493  568.499211  567.088809  565.279469  563.057146  562.981100  554.883077 
Temperature ,  571.453993  571.365379  571.172826  570.837342  570.317287  569.560353  568.508316  567.105036  565.306764  563.100046  563.024645  554.995899 
Temperature ,  571.454072  571.365521  571.173134  570.838038  570.318816  569.563571  568.514771  567.117327  565.328846  563.137137  563.062528  555.121667 
Temperature ,  571.454074  571.365554  571.173254  570.838379  570.319667  569.565537  568.519036  567.126050  565.345656  563.167429  563.093698  555.252890 
Temperature ,  571.454038  571.365530  571.173269  570.838503  570.320075  569.566620  568.521627  567.131800  565.357598  563.190591  563.117742  555.379221 
Temperature ,  571.453985  571.365479  571.173228  570.838507  570.320216  569.567131  568.523043  567.135273  565.365443  563.207039  563.134986  555.490527 
Temperature ,  571.453926  571.365416  571.173163  570.838451  570.320212  569.567302  568.523703  567.137155  565.370152  563.217792  563.146390  555.579841 
Temperature ,  571.453865  571.365350  571.173088  570.838367  570.320135  569.567291  568.523920  567.138025  565.372681  563.224192  563.153269  555.644873 
Temperature ,  571.453803  571.365283  571.173010  570.838273  570.320028  569.567192  568.523906  567.138313  565.373842  563.227591  563.156986  555.687658 
Temperature ,  571.453742  571.365216  571.172930  570.838176  570.319909  569.567056  568.523783  567.138303  565.374231  563.229136  563.158720  555.712918 
Temperature ,  571.453680  571.365148  571.172851  570.838078  570.319788  569.566909  568.523619  567.138159  565.374235  563.229658  563.159342  555.726131 
Temperature ,  571.453618  571.365080  571.172771  570.837980  570.319665  569.566759  568.523442  567.137967  565.374077  563.229689  563.159418  555.732093 
Temperature ,  571.453555  571.365011  571.172690  570.837881  570.319543  569.566609  568.523263  567.137763  565.373862  563.229521  563.159268  555.734267 
Temperature ,  571.459922  571.372202  571.181606  570.849618  570.335283  569.587542  568.550447  567.171915  565.415126  563.277266  563.206993  555.775954 
Temperature ,  571.459922  571.372202  571.181607  570.849619  570.335283  569.587543  568.550448  567.171917  565.415127  563.277268  563.206995  555.775955 
 
 rod_temps   0.61848126100807321     
 Rod ,           1
 radial pos , 0.0    1.0989019599873821E-003   2.4572194831395402E-003   3.9621473634423839E-003   5.4945097999369100E-003   7.0364057745576679E-003   8.5826986768446391E-003   1.0131375474309959E-002   1.1681488068565768E-002   1.3232531884008287E-002   1.4763779527559053E-002   1.5583989501312335E-002   1.6404199475065617E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  570.970258  570.844662  570.577633  570.128364  569.460996  568.533452  567.302839  565.733473  563.806137  561.533154  561.464640  554.315994 
Temperature ,  570.991720  570.868063  570.605012  570.162027  569.503205  568.586255  567.367818  565.811437  563.896787  561.634827  561.566218  554.399762 
Temperature ,  570.999238  570.876488  570.615330  570.175420  569.520931  568.609570  567.397836  565.848925  563.941940  561.687058  561.618439  554.446757 
Temperature ,  571.005290  570.883378  570.623991  570.187016  569.536761  568.631010  567.426196  565.885222  563.986618  561.739721  561.671116  554.496680 
Temperature ,  571.009999  570.888839  570.631061  570.196810  569.550600  568.650381  567.452617  565.920000  564.030515  561.792600  561.724040  554.549916 
Temperature ,  571.013528  570.893016  570.636648  570.204851  569.562402  568.667515  567.476811  565.952889  564.073262  561.845429  561.776952  554.607220 
Temperature ,  571.016061  570.896087  570.640909  570.211242  569.572180  568.682293  567.498500  565.983474  564.114392  561.897833  561.829494  554.669974 
Temperature ,  571.017793  570.898244  570.644028  570.216137  569.580015  568.694665  567.517446  566.011313  564.153324  561.949261  561.881136  554.740296 
Temperature ,  571.018914  570.899685  570.646208  570.219734  569.586057  568.704667  567.533486  566.035974  564.189370  561.998926  561.931117  554.820750 
Temperature ,  571.019589  570.900588  570.647652  570.222252  569.590517  568.712433  567.546574  566.057109  564.221806  562.045802  561.978436  554.913478 
Temperature ,  571.019960  570.901111  570.648547  570.223919  569.593648  568.718191  567.556807  566.074525  564.249977  562.088715  562.021929  555.018951 
Temperature ,  571.020132  570.901379  570.649056  570.224950  569.595721  568.722243  567.564429  566.088239  564.273435  562.126524  562.060441  555.134887 
Temperature ,  571.020183  570.901486  570.649307  570.225531  569.597000  568.724927  567.569803  566.098498  564.292044  562.158352  562.093052  555.255972 
Temperature ,  571.020166  570.901497  570.649396  570.225813  569.597719  568.726581  567.573362  566.105743  564.306023  562.183783  562.119288  555.374741 
Temperature ,  571.020112  570.901456  570.649392  570.225911  569.598067  568.727508  567.575551  566.110539  564.315909  562.202954  562.139218  555.483340 
Temperature ,  571.020041  570.901387  570.649337  570.225901  569.598187  568.727957  567.576777  566.113484  564.322444  562.216513  562.153435  555.575489 
Temperature ,  571.019961  570.901306  570.649255  570.225833  569.598175  568.728114  567.577374  566.115132  564.326446  562.225454  562.162900  555.647827 
Temperature ,  571.019878  570.901219  570.649162  570.225737  569.598095  568.728107  567.577591  566.115939  564.328681  562.230904  562.168735  555.700230 
Temperature ,  571.019793  570.901129  570.649064  570.225628  569.597981  568.728015  567.577597  566.116244  564.329781  562.233934  562.172023  555.735158 
Temperature ,  571.019708  570.901038  570.648963  570.225513  569.597852  568.727882  567.577496  566.116276  564.330213  562.235426  562.173674  555.756483 
Temperature ,  571.029649  570.911871  570.661622  570.241052  569.617295  568.752142  567.607265  566.151898  564.371583  562.282014  562.220290  555.804206 
Temperature ,  571.029649  570.911871  570.661623  570.241052  569.617296  568.752143  567.607267  566.151899  564.371585  562.282016  562.220292  555.804207 
 
 rod_temps   0.71848126100807330     
 Rod ,           1
 radial pos , 0.0    1.0989019599873821E-003   2.4572194831395402E-003   3.9621473634423839E-003   5.4945097999369100E-003   7.0364057745576679E-003   8.5826986768446391E-003   1.0131375474309959E-002   1.1681488068565768E-002   1.3232531884008287E-002   1.4763779527559053E-002   1.5583989501312335E-002   1.6404199475065617E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  570.391427  570.239219  569.920255  569.396150  568.640280  567.623479  566.318729  564.707838  562.788535  560.586000  560.525180  554.276121 
Temperature ,  570.420860  570.270568  569.955482  569.437364  568.689391  567.682037  566.387716  564.787445  562.877938  560.683210  560.622233  554.349575 
Temperature ,  570.432278  570.282954  569.969847  569.454842  568.711080  567.708913  566.420516  564.826520  562.923099  560.733610  560.672582  554.390724 
Temperature ,  570.442054  570.293673  569.982513  569.470608  568.731107  567.734290  566.452133  564.864899  562.968212  560.784722  560.723660  554.434356 
Temperature ,  570.450230  570.302751  569.993467  569.484595  568.749345  567.757984  566.482342  564.902346  563.013067  560.836397  560.775322  554.480651 
